slang,formal
aqwhuwh lagi pengen belajar public speaking dengan intonasi dan gestur yang baik nihhh,aku lagi ingin belajar berbicara di depan umum dengan intonasi dan gestur yang baik nih
kmw selalu bikin aqwhuwh semangat bangetttt,kamu selalu membuat aku semangat sekali
"akuh tempat berbagi segala impian, harapan, dan ketakutanmuuuuuuu","aku tempat berbagi segala impian, harapan, dan ketakutanmu"
diaaa tuhh pemaaf bangetttt dan selalu memberikan kesempatan untuk berubah menjadi pribadi yang lebih baik,dia tuh pemaaf sekali dan selalu memberikan kesempatan untuk berubah menjadi pribadi yang lebih baik
jangan lupaaa saling memberi dukungan moral di kala terpuruk dan kehilangan arah yachhh,jangan lupa saling memberi dukungan moral di kala terpuruk dan kehilangan arah ya
aqwhuwh lagi pengen belajar membuat website yang interaktif dan user-friendly nihhh,aku lagi ingin belajar membuat situs web yang interaktif dan mudah digunakan nih
kmw selalu bikin aqwhuwh kuat bangetttt,kamu selalu membuat aku kuat sekali
akuh alasan kamu untuk terus maju dan berkembang menjadi lebih baikkkkk,aku alasan kamu untuk terus maju dan berkembang menjadi lebih baik
diaaa tuhh penolong bangetttt dan selalu siap membantu tanpa mengharapkan imbalan apapun,dia tuh penolong sekali dan selalu siap membantu tanpa mengharapkan imbalan apapun
jangan lupaaa saling menghargai pendapat yang berbeda dengan pikiran terbuka yachhh,jangan lupa saling menghargai pendapat yang berbeda dengan pikiran terbuka ya
aqwhuwh lagi pengen belajar menggambar ilustrasi digital yang keren nihhh,aku lagi ingin belajar menggambar ilustrasi digital yang keren nih
kmw selalu bikin aqwhuwh berarti bangetttt,kamu selalu membuat aku berarti sekali
akuh tempat kamu kembali setelah menjalani hari yang melelahkanuuuuuu,aku tempat kamu kembali setelah menjalani hari yang melelahkan
diaaa tuhh menghargai bangetttt setiap usaha dan kerja keras yang telah kamu curahkan,dia tuh menghargai sekali setiap usaha dan kerja keras yang telah kamu curahkan
jangan lupaaa saling menghargai waktu dan privasi masing-masing agar tidak terjadi kesalahpahaman yachhh,jangan lupa saling menghargai waktu dan privasi masing-masing agar tidak terjadi kesalahpahaman ya
aqwhuwh lagi pengen bikin animasi 3D yang alur ceritanya menarik nihhh,aku lagi ingin membuat animasi 3D yang alur ceritanya menarik nih
kmw selalu bikin aqwhuwh lengkap bangetttt,kamu selalu membuat aku lengkap sekali
akuh penawar segala kerinduan dan kesepianmuuuuuuu,aku penawar segala kerinduan dan kesepianmu
diaaa tuhh tulus bangetttt dan tidak pernah memiliki niat buruk sedikitpun,dia tuh tulus sekali dan tidak pernah memiliki niat buruk sedikit pun
jangan lupaaa saling menjaga hati dan perasaan agar hubungan tetap harmonis yachhh,jangan lupa saling menjaga hati dan perasaan agar hubungan tetap harmonis ya
aqwhuwh lagi pengen belajar membuat podcast yang inspiratif dan bermanfaat nihhh,aku lagi ingin belajar membuat siniar (podcast) yang inspiratif dan bermanfaat nih
kmw selalu bikin aqwhuwh istimewa bangetttt,kamu selalu membuat aku istimewa sekali
akuh tujuan hidup yang selalu menjadi motivasi dalam setiap langkahmuuuuuuu,aku tujuan hidup yang selalu menjadi motivasi dalam setiap langkahmu
diaaa tuhh adil bangetttt dalam memberikan penilaian tanpa adanya unsur subjektivitas,dia tuh adil sekali dalam memberikan penilaian tanpa adanya unsur subjektivitas
jangan lupaaa saling percaya dan saling terbuka dalam menghadapi segala tantangan yachhh,jangan lupa saling percaya dan saling terbuka dalam menghadapi segala tantangan ya
aqwhuwh lagi pengen bikin aplikasi mobile yang inovatif dan kreatif nihhh,aku lagi ingin membuat aplikasi seluler yang inovatif dan kreatif nih
kmw selalu bikin aqwhuwh bersyukur bangetttt,kamu selalu membuat aku bersyukur sekali
akuh tempat berlindung ternyaman dari segala masalah dan tekanan hidupmuuuuuuu,aku tempat berlindung ternyaman dari segala masalah dan tekanan hidupmu
diaaa tuhh rendah hati bangetttt dan selalu menghargai setiap pendapat orang lain,dia tuh rendah hati sekali dan selalu menghargai setiap pendapat orang lain
jangan lupaaa saling mendukung satu sama lain dalam meraih impian setinggi bintang yachhh,jangan lupa saling mendukung satu sama lain dalam meraih impian setinggi bintang ya
aqwhuwh lagi pengen belajar membuat game online yang interaktif dan menantang nihhh,aku lagi ingin belajar membuat permainan daring yang interaktif dan menantang nih
kmw selalu bikin aqwhuwh semangat bangetttt,kamu selalu membuat aku semangat sekali
akuh jawaban dari segala keraguan dan ketakutanmuuuuuuu,aku jawaban dari segala keraguan dan ketakutanmu
diaaa tuhh pemaaf bangetttt dan selalu memberikan kesempatan untuk tumbuh menjadi pribadi yang lebih baik lagi,dia tuh pemaaf sekali dan selalu memberikan kesempatan untuk tumbuh menjadi pribadi yang lebih baik lagi
jangan lupaaa saling memberi semangat di kala merasa lelah dan ingin menyerah yachhh,jangan lupa saling memberi semangat di kala merasa lelah dan ingin menyerah ya
aqwhuwh lagi pengen belajar membuat robot cerdas yang bisa membantu kehidupan sehari-hari nihhh,aku lagi ingin belajar membuat robot cerdas yang bisa membantu kehidupan sehari-hari nih
kmw selalu bikin aqwhuwh kuat bangetttt,kamu selalu membuat aku kuat sekali
akuh pelengkap dalam setiap kekurangan dan kelemahan yang kamu milikiuuuuu,aku pelengkap dalam setiap kekurangan dan kelemahan yang kamu miliki
diaaa tuhh penolong bangetttt dan selalu sigap membantu tanpa mengharapkan imbalan apapun darimu,dia tuh penolong sekali dan selalu sigap membantu tanpa mengharapkan imbalan apapun darimu
jangan lupaaa saling menghargai privasi dan batasan pribadi masing-masing agar tidak ada kesalahpahaman yachhh,jangan lupa saling menghargai privasi dan batasan pribadi masing-masing agar tidak ada kesalahpahaman ya
aqwhuwh lagi pengen belajar bahasa asing yang unik dan menarik untuk dipelajari nihhh,aku lagi ingin belajar bahasa asing yang unik dan menarik untuk dipelajari nih
kmw selalu bikin aqwhuwh berarti bangetttt,kamu selalu membuat aku berarti sekali
akuh alasan kamu tersenyum di setiap detik dan menit dalam hidupmuuuuuu,aku alasan kamu tersenyum di setiap detik dan menit dalam hidupmu
diaaa tuhh menghargai bangetttt setiap usaha dan pengorbanan yang telah kamu lakukan demi mencapai tujuanmu,dia tuh menghargai sekali setiap usaha dan pengorbanan yang telah kamu lakukan demi mencapai tujuanmu
jangan lupaaa saling menjaga kepercayaan dan kejujuran sebagai fondasi utama dalam setiap hubungan yachhh,jangan lupa saling menjaga kepercayaan dan kejujuran sebagai fondasi utama dalam setiap hubungan ya
aqwhuwh lagi pengen bikin film animasi yang menghibur dan mendidik nihhh,aku lagi ingin membuat film animasi yang menghibur dan mendidik nih
kmw selalu bikin aqwhuwh lengkap bangetttt,kamu selalu membuat aku lengkap sekali
"akuh sandaran ternyaman di setiap suka, duka, dan lara yang kamu rasakannnnnn","aku sandaran ternyaman di setiap suka, duka, dan lara yang kamu rasakan"
diaaa tuhh tulus bangetttt dan tidak pernah memiliki niat buruk sedikitpun dalam setiap tindakannya,dia tuh tulus sekali dan tidak pernah memiliki niat buruk sedikit pun dalam setiap tindakannya
jangan lupaaa saling menjaga hati dan perasaan agar hubungan tetap harmonis dan langgeng yachhh,jangan lupa saling menjaga hati dan perasaan agar hubungan tetap harmonis dan langgeng ya
"aqwhuwh lagi pengen belajar membuat podcast yang inspiratif, bermanfaat, dan menghibur nihhh","aku lagi ingin belajar membuat siniar (podcast) yang inspiratif, bermanfaat, dan menghibur nih"
kmw selalu bikin aqwhuwh istimewa bangetttt,kamu selalu membuat aku istimewa sekali
akuh tujuan hidup yang selalu menjadi motivasi dalam setiap langkah dan keputusanmuuuuuuu,aku tujuan hidup yang selalu menjadi motivasi dalam setiap langkah dan keputusanmu
"diaaa tuhh adil bangetttt dalam memperlakukan semua orang tanpa melihat latar belakang sosial, ekonomi, maupun budaya","dia tuh adil sekali dalam memperlakukan semua orang tanpa melihat latar belakang sosial, ekonomi, maupun budaya"
jangan lupaaa saling percaya dan saling terbuka dalam menghadapi segala tantangan dan rintangan dalam hidup yachhh,jangan lupa saling percaya dan saling terbuka dalam menghadapi segala tantangan dan rintangan dalam hidup ya
"aqwhuwh lagi pengen bikin aplikasi mobile yang inovatif, kreatif, dan bermanfaat bagi banyak orang nihhh","aku lagi ingin membuat aplikasi seluler yang inovatif, kreatif, dan bermanfaat bagi banyak orang nih"
kmw selalu bikin aqwhuwh bersyukur bangetttt,kamu selalu membuat aku bersyukur sekali
"akuh tempat berlindung ternyaman dari segala masalah, tekanan hidup, dan kekecewaan yang kamu alamiuuuuuu","aku tempat berlindung ternyaman dari segala masalah, tekanan hidup, dan kekecewaan yang kamu alami"
diaaa tuhh rendah hati bangetttt dan selalu menghargai setiap pendapat dan masukan dari orang lain tanpa terkecuali,dia tuh rendah hati sekali dan selalu menghargai setiap pendapat dan masukan dari orang lain tanpa terkecuali
jangan lupaaa saling mendukung satu sama lain dalam meraih impian setinggi bintang di langit dan mewujudkannya menjadi kenyataan yachhh,jangan lupa saling mendukung satu sama lain dalam meraih impian setinggi bintang di langit dan mewujudkannya menjadi kenyataan ya
"aqwhuwh lagi pengen belajar membuat game online yang interaktif, menantang, dan bisa dimainkan oleh banyak orang nihhh","aku lagi ingin belajar membuat permainan daring yang interaktif, menantang, dan bisa dimainkan oleh banyak orang nih"
kmw selalu bikin aqwhuwh semangat bangetttt,kamu selalu membuat aku semangat sekali
"akuh jawaban dari segala keraguan, ketakutan, dan kebimbangan yang pernah kamu rasakannnnnnn","aku jawaban dari segala keraguan, ketakutan, dan kebimbangan yang pernah kamu rasakan"
Nggak mudeng sama istilah gaul zaman sekarang.,Saya tidak mengerti istilah populer di kalangan anak muda saat ini.
"Anak-anak sekarang kalau ngomong banyak banget singkatan, gue udah nggak mudeng artinya apa.","Anak-anak muda saat ini jika berbicara menggunakan banyak sekali singkatan, saya sudah tidak mengerti artinya apa."
Bikin cenat-cenut kepala kalau kurang tidur.,Kurang tidur membuat kepala saya berdenyut-denyut.
"Semalaman nonton bola, paginya langsung bikin cenat-cenut kepala, nggak fokus kerja.","Semalaman menonton pertandingan sepak bola, paginya langsung membuat kepala saya berdenyut-denyut, tidak fokus bekerja."
Nggak ada esensinya memang kalau cuma janji manis tanpa bukti.,Memang tidak ada intinya jika hanya memberikan janji manis tanpa adanya bukti.
"Udah sering denger rayuan gombal, tapi nggak ada tindakan nyata, nggak ada esensinya.","Sudah sering mendengar rayuan gombal, tetapi tidak ada tindakan nyata, memang tidak ada intinya."
Bikin miris lihat lansia yang harus mengemis di jalanan.,Melihat lansia yang harus meminta-minta di jalanan membuat saya merasa iba.
"Di perempatan lampu merah sering lihat kakek-kakek mengulurkan tangan, bikin miris banget.","Di perempatan lampu merah sering melihat kakek-kakek mengulurkan tangan untuk meminta, hal itu membuat saya merasa sangat iba."
Nggak gitu pakemnya bikin surat lamaran kerja yang baik.,Aturan yang benar dalam membuat surat lamaran kerja yang baik bukan seperti itu.
"Katanya mau lamar kerja, tapi format suratnya asal-asalan, nggak gitu pakemnya yang profesional.","Katanya ingin melamar pekerjaan, tetapi format suratnya tidak teratur, aturan yang benar untuk format yang profesional bukan seperti itu."
Bikin auto sumringah kalau dapat kejutan menyenangkan.,Mendapatkan kejutan menyenangkan otomatis membuat saya tersenyum lebar.
"Tiba-tiba dikasih hadiah ulang tahun, langsung bikin auto sumringah seharian.","Tiba-tiba diberikan hadiah ulang tahun, hal itu langsung otomatis membuat saya tersenyum lebar sepanjang hari."
Nggak worth the atensi buat ngurusin komentar haters di internet.,Tidak sepadan dengan perhatian yang diberikan untuk mengurusi komentar pembenci di internet.
"Banyak banget komentar negatif di postingan, tapi nggak worth it buat dibalesin satu-satu.","Ada banyak sekali komentar negatif di unggahan, tetapi tidak sepadan dengan perhatian yang diberikan untuk membalasnya satu per satu."
Bikin penasaran banget isi pesan suara misterius itu.,Isi pesan suara misterius itu membuat saya sangat ingin tahu.
"Ada voice note dari nomor nggak dikenal, suaranya aneh, bikin penasaran banget isinya.","Ada pesan suara dari nomor yang tidak dikenal, suaranya aneh, isi pesan suara misterius itu membuat saya sangat ingin tahu."
Nggak nyangka se-asri ini pemandangan di desa terpencil.,Tidak menyangka pemandangan di desa terpencil akan seindah dan sealami ini.
Perjalanan jauh terbayar lunas pas lihat pemandangan sawah sama gunung yang masih asri banget.,Perjalanan jauh terbayar lunas saat melihat pemandangan sawah dan gunung yang masih sangat indah dan alami.
Bikin adem suasana hati kalau lihat kerukunan antar umat beragama.,Melihat kerukunan antar umat beragama membuat suasana hati menjadi tenang.
"Di kampung ini semua agama bisa hidup berdampingan dengan damai, lihatnya bikin adem hati.","Di kampung ini semua agama bisa hidup berdampingan dengan damai, melihat kerukunan antar umat beragama membuat hati menjadi tenang."
Nggak ketangkap maksud dari metafora yang dia gunakan dalam puisinya.,Saya tidak memahami maksud dari metafora yang dia gunakan dalam puisinya.
"Syairnya indah, tapi banyak metafora yang bikin gue nggak ketangkap artinya.","Syairnya memang indah, tetapi banyak metafora yang membuat saya tidak memahami artinya."
Bikin mules perut kalau makan makanan terlalu pedas.,Makan makanan yang terlalu pedas membuat perut saya terasa mulas.
"Pengen nyobain sambal terpedas, eh malah langsung bikin mules perut nggak karuan.","Ingin mencoba sambal yang paling pedas, eh malah langsung membuat perut saya terasa mulas tidak karuan."
Nggak ada urgensinya memang kalau cuma ngomongin ide tanpa deadline yang jelas.,Memang tidak ada urgensinya jika hanya membicarakan ide tanpa batas waktu yang jelas.
"Banyak ide bagus, tapi nggak ada target kapan mau direalisasiin, jadi nggak ada urgensinya.","Banyak ide bagus, tetapi tidak ada target kapan akan direalisasikan, jadi tidak ada urgensinya."
Bikin pilu lihat anak-anak yang kehilangan orang tuanya.,Melihat anak-anak yang kehilangan orang tuanya membuat saya merasa sangat sedih.
"Di pengungsian banyak anak-anak yatim piatu, bikin pilu banget lihatnya.","Di tempat pengungsian banyak anak-anak yatim piatu, hal itu membuat saya merasa sangat pilu."
Nggak gitu kaidahnya bikin karya ilmiah yang benar.,Aturan yang benar dalam membuat karya ilmiah bukan seperti itu.
"Mau bikin skripsi, tapi metodenya salah, nggak gitu kaidahnya yang baku.","Ingin membuat skripsi, tetapi metodenya salah, aturan yang baku bukan seperti itu."
Bikin auto terpacu kalau dapat saingan yang kompeten.,Mendapatkan saingan yang kompeten otomatis membuat saya merasa tertantang.
"Di lomba ini banyak peserta yang hebat, bikin auto terpacu buat kasih yang terbaik.","Di lomba ini ada banyak peserta yang hebat, hal itu otomatis membuat saya merasa tertantang untuk memberikan yang terbaik."
Nggak worth the perhatian buat ngurusin drama yang nggak berfaedah.,Tidak sepadan dengan perhatian yang diberikan untuk mengurusi drama yang tidak bermanfaat.
"Gosip di kantor nggak ada habisnya, nggak worth it buat dipikirin.","Gosip di kantor tidak ada habisnya, tidak sepadan untuk dipikirkan."
Bikin penasaran banget isi email balasan dari perusahaan itu.,Isi email balasan dari perusahaan itu membuat saya sangat ingin tahu.
"Udah kirim lamaran, nungguin email balasan bikin penasaran banget hasilnya gimana.","Sudah mengirimkan lamaran, menunggu email balasan membuat saya sangat ingin tahu hasilnya bagaimana."
Nggak nyangka se-hening ini suasana di hutan malam hari.,Tidak menyangka suasana di hutan malam hari akan sehening ini.
"Malam-malam di hutan suaranya cuma jangkrik, nggak nyangka bisa sehening ini.","Malam-malam di hutan suaranya hanya jangkrik, tidak menyangka suasananya bisa sehening ini."
Bikin adem suasana hati kalau lihat orang saling tolong menolong.,Melihat orang saling membantu membuat suasana hati menjadi tenang.
"Tadi ada kecelakaan, banyak orang langsung bantu, lihatnya bikin adem hati.","Tadi ada kecelakaan, banyak orang langsung membantu, melihat orang saling tolong menolong membuat hati menjadi tenang."
Nggak kecerna maksud dari kiasan yang dia gunakan dalam pidatonya.,Saya tidak memahami maksud dari kiasan yang dia gunakan dalam pidatonya.
"Pidatonya penuh dengan bahasa figuratif, banyak kiasan yang nggak kecerna artinya.","Pidatonya penuh dengan bahasa figuratif, banyak kiasan yang tidak saya pahami artinya."
